"language.keyword: Descending",Count
JavaScript,"10,256,258"
Java,"6,557,316"
Python,"5,173,391"
Ruby,"3,307,957"
HTML,"3,123,575"
PHP,"2,841,279"
"C++","2,178,517"
CSS,"2,098,957"
C,"1,850,115"
"C#","1,626,422"
Shell,"1,429,285"
"Objective-C","1,199,378"
Go,"918,319"
Swift,"580,348"
"Jupyter Notebook","564,048"
R,"482,497"
TypeScript,"465,490"
Scala,"273,278"
CoffeeScript,"220,245"
Perl,"213,614"
Lua,"209,482"
VimL,"188,476"
TeX,"181,660"
Matlab,"153,364"
Makefile,"150,674"
Vue,"140,705"
Haskell,"125,481"
Rust,"122,914"
Clojure,"122,001"
PowerShell,"110,579"
Groovy,"106,868"
"Emacs Lisp","104,892"
Kotlin,"95,021"
Arduino,"90,607"
Erlang,"71,833"
Elixir,"62,657"
"Vim script","57,747"
Puppet,"55,838"
Assembly,"48,897"
ActionScript,"48,119"
"Visual Basic","46,130"
ColdFusion,"41,296"
Julia,"38,256"
Processing,"37,364"
Dart,"35,254"
Pascal,"34,946"
OCaml,"30,709"
CMake,"30,092"
Batchfile,"28,561"
XSLT,"28,198"
ASP,"26,839"
ApacheConf,"26,497"
"Common Lisp","24,977"
"F#","23,829"
HCL,"21,624"
Eagle,"19,472"
D,"19,226"
Scheme,"17,530"
Verilog,"16,780"
Smarty,"15,429"
Haxe,"15,091"
Elm,"14,622"
Apex,"13,828"
Cuda,"13,207"
FORTRAN,"13,060"
Dockerfile,"12,717"
PLpgSQL,"12,605"
VHDL,"12,485"
Nginx,"12,281"
Racket,"11,929"
"Objective-C++","11,055"
QML,"10,785"
Prolog,"10,278"
"GCC Machine Description","10,200"
Groff,"9,917"
SaltStack,"9,586"
SQF,"9,031"
PLSQL,"8,953"
AutoHotkey,"8,754"
Logos,"8,372"
XML,"8,320"
Fortran,"7,967"
Tcl,"7,757"
Roff,"7,527"
GLSL,"7,254"
Mathematica,"7,219"
Crystal,"7,182"
Vala,"6,925"
PureScript,"6,917"
PostScript,"6,794"
KiCad,"6,548"
Rascal,"6,546"
OpenSCAD,"6,445"
SourcePawn,"6,402"
Perl6,"6,311"
SQLPL,"5,883"
DM,"5,616"
"Protocol Buffer","5,379"
"OpenEdge ABL","5,116"
"DIGITAL Command Language","4,552"
Nix,"4,375"
AppleScript,"4,329"
Smalltalk,"4,266"
"Standard ML","4,214"
NSIS,"3,911"
AutoIt,"3,886"
BitBake,"3,885"
Coq,"3,513"
"Web Ontology Language","3,387"
LiveScript,"3,380"
GDScript,"3,369"
FreeMarker,"3,355"
Stata,"3,078"
IDL,"3,076"
Max,"2,994"
LabVIEW,"2,673"
Liquid,"2,636"
ShaderLab,"2,612"
"API Blueprint","2,600"
Nimrod,"2,564"
SystemVerilog,"2,542"
Hack,"2,465"
Ada,"2,403"
SuperCollider,"2,365"
Smali,"2,332"
SAS,"2,270"
"Pure Data","2,261"
Delphi,"2,076"
Nim,"2,073"
M,"2,062"
Yacc,"2,042"
WebAssembly,"2,031"
